,title,year,genre,country,avg_vote,budget,worlwide_gross_income
60437,Inkubus,2011,Horror,USA,3.9,1500000,81600
60460,Dysfunctional Friends,2012,"Comedy, Drama",USA,5.0,5000000,13546
60497,Stolen,2012,"Action, Crime, Thriller",USA,5.5,35000000,17415418
60498,Safe,2012,"Action, Crime, Thriller",USA,6.5,30000000,41564670
60508,Non lasciarmi sola,2013,Drama,USA,6.5,3200000,1362018
60519,Noi siamo infinito,2012,"Drama, Romance",USA,8.0,13000000,33384127
60522,Universal Soldier - Il giorno del giudizio,2012,"Action, Horror, Mystery",USA,5.0,10000000,1402307
60535,Il grande match,2013,"Comedy, Drama, Sport",USA,6.4,40000000,44907260
60539,Cut Bank,2014,"Crime, Drama, Thriller",USA,6.1,5000000,288591
60541,Nothing Left to Fear,2013,Horror,USA,4.4,3000000,1675381
60549,Fun Size,2012,"Adventure, Comedy",USA,5.4,14000000,11417362
60552,The Chaperone - In gita per caso,2011,"Action, Comedy, Family",USA,5.0,3000000,279147
60554,Life of Crime: Scambio a sorpresa,2013,"Comedy, Crime",USA,5.8,12000000,1456675
60560,Crazy Eyes,2012,Comedy,USA,4.0,10000000,6141
60563,Martyrs,2015,"Drama, Horror, Thriller",USA,4.0,1000000,397072
60566,Pacific Rim,2013,"Action, Adventure, Sci-Fi",USA,6.9,190000000,411002906
60596,All Eyez on Me,2017,"Biography, Drama, Music",USA,5.8,40000000,55668698
60597,Mordimi,2010,Comedy,USA,3.4,20000000,80547866
60610,L'A.S.S.O. nella manica,2015,"Comedy, Romance",USA,6.5,8500000,43709744
60638,L'era glaciale 4 - Continenti alla deriva,2012,"Animation, Adventure, Comedy",USA,6.6,95000000,877244782
60706,The Twilight Saga: Breaking Dawn - Parte 2,2012,"Adventure, Drama, Fantasy",USA,5.5,120000000,829746820
60728,Entourage,2015,Comedy,USA,6.6,30000000,49263404
60737,Take Shelter,2011,"Drama, Horror, Thriller",USA,7.4,5000000,3741098
60765,My Last Day Without You,2011,"Comedy, Drama, Romance",USA,5.7,1000000,8335
60769,Trolls,2016,"Animation, Adventure, Comedy",USA,6.5,125000000,346864462
60811,Brando Unauthorized,2010,Drama,USA,3.5,1500000,3123
60817,Playback,2012,"Horror, Thriller",USA,4.2,1600000,57587
60845,Creature,2011,Horror,USA,3.6,3000000,533235
60887,Dark Horse,2011,"Comedy, Drama",USA,5.9,2000000,337150
60908,Prima di domani,2017,"Drama, Fantasy, Mystery",USA,6.4,5000000,16373843
60909,Planes,2013,"Animation, Adventure, Comedy",USA,5.7,50000000,239258712
60937,Parto con mamma,2012,"Comedy, Drama",USA,5.7,40000000,41863726
60958,The Virginity Hit,2010,Comedy,USA,4.6,2000000,636706
60971,Una fantastica e incredibile giornata da dimenticare,2014,"Comedy, Family",USA,6.2,28000000,100654149
60981,Seven Days in Utopia,2011,"Drama, Sport",USA,6.0,7500000,4373074
61000,Peeples,2013,"Comedy, Romance",USA,5.3,15000000,9307166
61029,Vicino a te non ho paura,2013,"Drama, Romance, Thriller",USA,6.7,28000000,97594140
61057,Bernie,2011,"Biography, Comedy, Crime",USA,6.8,5000000,10173061
61077,Chronicle,2012,"Drama, Sci-Fi, Thriller",USA,7.0,12000000,126636097
61088,Lovely Molly,2011,"Drama, Horror",USA,5.3,1000000,638274
61112,Joyful Noise - Armonie del cuore,2012,"Comedy, Drama, Music",USA,5.7,25000000,31158113
61127,Un compleanno da leoni,2013,Comedy,USA,5.8,13000000,48065672
61136,La festa prima delle feste,2016,Comedy,USA,5.8,45000000,114501299
61146,Codice 999,2016,"Action, Crime, Thriller",USA,6.3,20000000,23177948
61163,The Spectacular Now,2013,"Comedy, Drama, Romance",USA,7.1,2500000,6918591
